Date,Open,High,Low,Adj Close,Volume
1/11/2008,6.285714,6.351786,6.071429,5.228064,1232285600
1/14/2008,6.34,6.407857,6.256071,5.412435,1100450400
1/15/2008,6.347143,6.400714,5.880714,5.117564,2343278000
1/16/2008,5.901071,6.036071,5.596429,4.832987,2213845200
1/17/2008,5.768214,5.905714,5.657857,4.870827,1757859600
1/18/2008,5.775357,5.919643,5.700357,4.885058,1724343600
1/22/2008,5.287857,5.713571,5.214286,4.711889,2434754000
1/23/2008,4.863929,5,4.505,4.210244,3372969600
1/24/2008,4.999643,5.025,4.714643,4.105192,2005866800
1/25/2008,4.963929,4.9675,4.628929,3.935959,1554739200
1/28/2008,4.577143,4.757143,4.516071,3.935959,1474844000
1/29/2008,4.683929,4.7425,4.608929,3.982278,1099982800
1/30/2008,4.691786,4.8375,4.642857,4.001654,1243051600
1/31/2008,4.623214,4.880357,4.621429,4.097927,1345674400
2/1/2008,4.865714,4.878214,4.720714,4.049185,1010744000
2/4/2008,4.793214,4.853571,4.693571,3.985611,899234000
2/5/2008,4.658214,4.785714,4.603571,3.916281,1141042000
2/6/2008,4.6725,4.711429,4.348929,3.693462,1573272400
