Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
7/20/2023,195.089996,196.470001,192.5,192.615799,59581200,1.52,1.43,0.09,6.2937,,,,,,
7/19/2023,193.100006,198.229996,192.649994,194.580551,80507300,1.52,1.43,0.09,6.2937,,,,,,
7/18/2023,193.350006,194.330002,192.419998,193.214188,48353800,1.52,1.43,0.09,6.2937,,,,,,
7/17/2023,191.899994,194.320007,191.809998,193.473511,50520200,1.52,1.43,0.09,6.2937,,,,,,
7/14/2023,190.229996,191.179993,189.630005,190.182281,41573900,1.52,1.43,0.09,6.2937,,,,,,
7/13/2023,190.5,191.190002,189.779999,190.032669,41342300,1.52,1.43,0.09,6.2937,,,,,,
7/12/2023,189.679993,191.699997,188.470001,189.26474,60750200,1.52,1.43,0.09,6.2937,,,,,,
7/11/2023,189.160004,189.300003,186.600006,187.579254,46638100,1.52,1.43,0.09,6.2937,,,,,,
7/10/2023,189.259995,189.990005,187.039993,188.107834,59922200,1.52,1.43,0.09,6.2937,,,,,,
7/7/2023,191.410004,192.669998,190.240005,190.172302,46778000,1.52,1.43,0.09,6.2937,,,,,,
7/6/2023,189.839996,192.020004,189.199997,191.299301,45094300,1.52,1.43,0.09,6.2937,,,,,,
7/5/2023,191.570007,192.979996,190.619995,190.820587,46920300,1.52,1.43,0.09,6.2937,,,,,,
7/3/2023,193.779999,193.880005,191.759995,191.947586,31458200,1.52,1.43,0.09,6.2937,,,,,,
6/30/2023,191.630005,194.479996,191.259995,193.453568,85069600,1.52,1.43,0.09,6.2937,,,,,,
6/29/2023,189.080002,190.070007,188.940002,189.085205,46347300,1.52,1.43,0.09,6.2937,,,,,,
6/28/2023,187.929993,189.899994,187.600006,188.746124,51216800,1.52,1.43,0.09,6.2937,,,,,,
6/27/2023,185.889999,188.389999,185.669998,187.55928,50730800,1.52,1.43,0.09,6.2937,,,,,,
6/26/2023,186.830002,188.050003,185.229996,184.776733,48088700,1.52,1.43,0.09,6.2937,,,,,,
6/23/2023,185.550003,187.559998,185.009995,186.182953,53079300,1.52,1.43,0.09,6.2937,,,,,,
6/22/2023,183.740005,187.050003,183.669998,186.502121,51245300,1.52,1.43,0.09,6.2937,,,,,,
6/21/2023,184.899994,185.410004,182.589996,183.470215,49515700,1.52,1.43,0.09,6.2937,,,,,,
6/20/2023,184.410004,186.100006,184.410004,184.51741,49799100,1.52,1.43,0.09,6.2937,,,,,,
6/16/2023,186.729996,186.990005,184.270004,184.427643,101235600,1.52,1.43,0.09,6.2937,,,,,,
6/15/2023,183.960007,186.520004,183.779999,185.51474,65433200,1.52,1.43,0.09,6.2937,,,,,,
6/14/2023,183.369995,184.389999,182.020004,183.460236,57462900,1.52,1.43,0.09,6.2937,,,,,,
6/13/2023,182.800003,184.149994,182.440002,182.821945,54929100,1.52,1.43,0.09,6.2937,,,,,,
6/12/2023,181.270004,183.889999,180.970001,183.300644,54274900,1.52,1.43,0.09,6.2937,,,,,,
6/9/2023,181.5,182.229996,180.630005,180.478195,48870700,1.52,1.43,0.09,6.2937,,,,,,
6/8/2023,177.899994,180.839996,177.460007,180.089233,50214900,1.52,1.43,0.09,6.2937,,,,,,
6/7/2023,178.440002,181.210007,177.320007,177.346558,61944600,1.52,1.43,0.09,6.2937,,,,,,
6/6/2023,179.970001,180.119995,177.429993,178.732849,64848400,1.52,1.43,0.09,6.2937,,,,,,
6/5/2023,182.630005,184.949997,178.039993,179.101868,121946500,1.52,1.43,0.09,6.2937,,,,,,
6/2/2023,181.029999,181.779999,179.259995,180.468216,61945900,1.52,1.43,0.09,6.2937,,,,,,
6/1/2023,177.699997,180.119995,176.929993,179.610504,68901800,1.52,1.43,0.09,6.2937,,,,,,
5/31/2023,177.330002,179.350006,176.759995,176.778061,99625300,1.52,1.43,0.09,6.2937,,,,,,
5/30/2023,176.960007,178.990005,176.570007,176.827942,55964400,1.52,1.43,0.09,6.2937,,,,,,
5/26/2023,173.320007,175.770004,173.110001,174.962906,54835000,1.52,1.43,0.09,6.2937,,,,,,
5/25/2023,172.410004,173.899994,171.690002,172.529419,56058300,1.52,1.43,0.09,6.2937,,,,,,
5/24/2023,171.089996,172.419998,170.520004,171.382477,45143500,1.52,1.43,0.09,6.2937,,,,,,
5/23/2023,173.130005,173.380005,171.279999,171.103226,50747300,1.52,1.43,0.09,6.2937,,,,,,
5/22/2023,173.979996,174.710007,173.449997,173.736191,43570900,1.52,1.43,0.09,6.2937,,,,,,
5/19/2023,176.389999,176.389999,174.940002,174.693649,55772400,1.52,1.43,0.09,6.2937,,,,,,
5/18/2023,173,175.240005,172.580002,174.583939,65496700,1.52,1.43,0.09,6.2937,,,,,,
5/17/2023,171.710007,172.929993,170.419998,172.230225,57951600,1.52,1.43,0.09,6.2937,,,,,,
5/16/2023,171.990005,173.139999,171.800003,171.611877,42110300,1.52,1.43,0.09,6.2937,,,,,,
5/15/2023,173.160004,173.210007,171.470001,171.611877,37266700,1.52,1.43,0.09,6.2937,,,,,,
5/12/2023,173.619995,174.059998,171,172.11055,45497800,1.52,1.43,0.09,6.2937,,,,,,
5/11/2023,173.850006,174.589996,172.169998,173.048035,49514700,1.52,1.43,0.09,6.2937,,,,,,
5/10/2023,173.020004,174.029999,171.899994,172.858795,53724500,1.52,1.43,0.09,6.2937,,,,,,
